Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;2M LOCACOES DE STANDES LTDA EPP;Logradouro Local Fiscalizado;CEP;;Município Local Fiscalizado;UF Local Fiscalizado
2011;2011/12;Sem Informação;"""ALOJAMENTO""";RUA DAS GARDÊNIAS, 367;SI;JARDIM PARAÍSO;Valinhos;São Paulo
2011;2011/08;Sem Informação;"""CONFECÇÃO A""";RUA IMIGRANTES, 525;SI;JARDIM IPIRANGA;Americana;São Paulo
2011;2011/08;Sem Informação;"""CONFECÇÃO B""";RUA JOSÉ JORGE PATRÍCIO, 785;SI;Sem Informação;Santa Bárbara d'Oeste;São Paulo
2012;2012/04;Sem Informação;"""FAZENDA JACINTINHO""";X;09700-000;Sem Informação;Aguaí;São Paulo
2012;2012/03;Sem Informação;"""MARIA STEFE CONFECÇÃO""";RUA JOÃO LUIZ MAZER, 146;13465-000;SÃO JERÔNIMO;Americana;São Paulo
2009;2009/02;49.205.834/0001-22;002- EMURG EMPR.URB.GJA SA(LIQUIDANTES);RUA WASHINGTON,227;11410-150;VILA MAIA;Guarujá;São Paulo
2009;2009/06;55.204.002/0001-94;01 CONCREBASE COM E SERV CONCRETAGEM LTDA;R. VINTE OITO DE OUTUBRO, 259;18087-080;JD DO PAÇO;Sorocaba;São Paulo
2009;2009/10;00.900.716/0001-45;01 DB BRASIL COM DE EQUIPAMENTOS LTDA;RUA DOMINGOS DE MORAIS,2102;04036-000;VILA MARIANA;São Paulo;São Paulo
2009;2009/06;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2008;2008/10;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2009;2009/04;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2009;2009/07;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2009;2009/12;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2009;2009/10;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2010;2010/04;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2010;2010/08;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2012;2012/04;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2012;2012/03;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2009;2009/05;03.757.239/0002-80;022008SPEED WORK TRANSPORTES LTDA;RUA JOSE BERNARDO PINTO,554;02055-001;VILA GUILHERME;São Paulo;São Paulo
2011;2011/05;05.471.660/0008-40;02PERFOR SP VEICULOS LTDA;AV NOVE DE JULHO 129;12000-000;CENTRO;Taubaté;São Paulo
2009;2009/01;36.542.025/0004-07;03 BRQ SOLUCOES EM INFORMATICA SA;RUA GOMES DE CARVALHO,1356;04547-005;VILA OLIMPIA;São Paulo;São Paulo
2009;2009/08;07.886.254/0001-06;03 MEIO AMBIENTE ENGENHARIA LTDA;RUA GALEAO COUTINHO 714;11365-000;Sem Informação;São Vicente;São Paulo
2010;2010/11;07.886.254/0001-06;03 MEIO AMBIENTE LTDA ME;AVENIDA GALEÃO COUTINHO 714;11300-000;Sem Informação;São Vicente;São Paulo
2010;2010/08;07.886.254/0001-06;03 MEIO AMBIENTE LTDA -ME;AV GALEÃO COUTINHO 714;11365-000;PARQUE SAO VICENTE;São Vicente;São Paulo
2008;2008/06;00.109.234/0001-71;047 - URSOS COMERCIO E FLORICULTURA LTDA ME;RUA DR ADEMAR QUEIROZ DE MORAES,71;04623-060;BROOKLIN PAULISTA;São Paulo;São Paulo
2009;2009/01;01.781.409/0001-55;05 S INDUSTRIA COM COSMETICOS LTDA ME;RUA DIARIO DE NOTICIAS,51;04327-160;JD IMPRENSA;São Paulo;São Paulo
2010;2010/01;01.781.409/0001-55;05 S INDUSTRIA COM COSMETICOS LTDA ME;RUA DIARIO DE NOTICIAS,51;04327-160;JD IMPRENSA;São Paulo;São Paulo
2009;2009/02;59.355.123/0001-98;070 COM CALC GOMES E SILVA ITU LTDA ME;RUA SANTA RITA, 1025;13300-065;CENTRO;Itu;São Paulo
2010;2010/07;59.355.123/0001-98;070 COM CALC GOMES E SILVA ITU LTDA ME;RUA SANTA RITA, 1025;13300-065;CENTRO;Itu;São Paulo
2008;2008/10;08.308.502/0001-96;0800 NAUTICA COMERCIO E SERVIÇOS LTDA;AV EUGENIO FISCHER 300 LJ 03/06;11421-000;JD GUAIUBA;Guarujá;São Paulo
2009;2009/09;05.332.239/0001-82;089 EQUIMIX LTDA;AVENIDA PIRELLI,1051;18103-085;JD BOA ESPERANCA;Sorocaba;São Paulo
2010;2010/02;60.908.639/0001-00;08SOBROSA MELLO CONSTRUTORA LTDA;TRAVUBIRASSANGA,35;04614-050;CAMPO BELO;São Paulo;São Paulo
2009;2009/04;53.934.626/0001-31;0EHARA COM MAT ELETRICOS E HIDRAULICOS LTDA;AV DOS LATINOS,470;03572-000;JD STA TEREZINHA;São Paulo;São Paulo
2010;2010/03;53.934.626/0001-31;0EHARA COM MAT ELETRICOS E HIDRAULICOS LTDA;AV DOS LATINOS,470;03572-000;JD STA TEREZINHA;São Paulo;São Paulo
2010;2010/09;74.536.491/0001-26;0R SERVICE COMERCIO SERV EM IMAGENS LTDA;RUA TITICACA,706;06412-080;JD REGINA ALICE;Barueri;São Paulo
2011;2011/03;08.213.884/0001-74;1 CAM DE MED JUIZ ARB DE MAT E REG S/S;RUA JOSÉ BONIFÁCIO, 691;15990-000;CENTRO;Matão;São Paulo
2011;2011/08;51.795.615/0001-92;1 OF R I T D C P J E 1 TAB P L T DE;RUA WASHINGTON LUIZ;14401-220;JDM BOA ESPERANCA;Franca;São Paulo
2011;2011/02;51.241.263/0001-23;1 OF REG IMOVEIS TIT D C P JURID DE OSASCO;AV SANTO ANTONIO,1986;06083-200;VILA OSASCO;Osasco;São Paulo
2011;2011/12;05.898.224/0001-86;1 OF.R.I.T.D.C.P.J. SOROCABA;RUA DA PENHA,,1035;18010-004;CENTRO;Sorocaba;São Paulo
2009;2009/07;51.327.575/0001-54;1 OFICIAL DE REGISTRO DE IM., TIT. E DOC. E CIVIL DE PJ;AV LIMEIRA, 222   5º ANDAR;13414-018;VILA REZENDE;Piracicaba;São Paulo
2009;2009/11;51.327.575/0001-54;1 OFICIAL DE REGISTRO DE IMOVEIS, TIT.E DOC. CIVIL PJ;AV LIMEIRA 222 5 ANDAR;13414-018;VILA REZENDE;Piracicaba;São Paulo
2009;2009/10;51.795.615/0001-92;1 OFICIAL REG IM TIT DOC CIV PJ FRC;RUA WASHINGTON LUIZ, 1901;14401-220;JD BOA ESPERANCA;Franca;São Paulo
2010;2010/09;51.653.780/0001-00;1 TABELIAO DE NOTAS;AV. CONSELHEIRO NEBIAS, N,795;11045-003;BOQUEIRAO;Santos;São Paulo
2012;2012/01;59.579.284/0001-65;1 TABELIAO DE PROTESTO DE LETRAS E TITULOS DA COMA;AV BRIG LUIS ANTONIO 371 SOBRELOJA;01317-000;BELA VISTA;São Paulo;São Paulo
2008;2008/09;50.828.516/0001-05;1 TABELIONATO DE NOTAS DE BAURU-SP.;RUA BANDEIRANTES,9-58;17015-011;CENTRO;Bauru;São Paulo
2009;2009/05;45.575.156/0001-39;10 TABELIAO DE NOTAS DA CAPITAL;AVENIDA JABAQUARA,221;04045-000;MIRANDOPOLIS;São Paulo;São Paulo
2011;2011/06;45.575.156/0001-39;10 TABELIAO DE NOTAS DA CAPITAL;AVENIDA JABAQUARA,221;04045-000;MIRANDOPOLIS;São Paulo;São Paulo
2009;2009/10;45.575.156/0001-39;10 TABELIAO DE NOTAS DA CAPITAL;AVENIDA JABAQUARA,221;04045-000;MIRANDOPOLIS;São Paulo;São Paulo
2012;2012/01;07.978.127/0001-29;100 POR CENTO PROM.COM.DE BOLSAS LTDA.;RUA JOAQUIM LAPAS VEIGA,491;05550-010;JARDIM GILDA MARIA;São Paulo;São Paulo
2010;2010/07;07.978.127/0001-29;100 POR CENTO PROM.COM.DE BOLSAS LTDA.;RUA JOAQUIM LAPAS VEIGA,491, 503 E 509;05550-010;JARDIM GILDA MARIA;São Paulo;São Paulo
2010;2010/07;Sem Informação;100 QUERER IND E COM DE CALCADOS;RUA MOE, 701 A;03660-040;VILA RE;São Paulo;São Paulo
2008;2008/10;06.346.182/0001-33;100 SAUDE ACADEMIA DE ESPORTES E LAZER LTDA;RUA DOUTOR DIOGO DE FARIA,1099;04037-003;VILA CLEMENTINO;São Paulo;São Paulo
2010;2010/01;Sem Informação;100% MORENA;RUA CASEMIRO DE ABREU, 649;SI;BRÁS;São Paulo;São Paulo
2008;2008/11;03.135.978/0001-59;1000 FOLHAS  PAPELARIA LTDA ME;RUA AJUDANTE ALBANO, 590;13416-030;Sem Informação;Piracicaba;São Paulo
2008;2008/08;05.060.232/0001-59;1000 GRAUS LANCHONETE E PIZZARIA LTDA;RUA CONEGO ANRONIO MANZI,40/42;08150-310;JD ROBRU;São Paulo;São Paulo
2011;2011/01;05.060.232/0001-59;1000 GRAUS PADARIA, LANCHONETE E PIZZARIA LTDA;R CONEGO ANTONIO MANZI,40/42;08150-310;JD ROBRU;São Paulo;São Paulo
2010;2010/12;03.573.330/0001-64;1000 MARCAS LTDA;RETIRO,114;03073-005;TATUAPE;São Paulo;São Paulo
2011;2011/11;03.573.330/0001-64;1000 MARCAS LTDA;RETIRO,114;03073-005;TATUAPE;São Paulo;São Paulo
2010;2010/12;07.753.797/0001-47;1000 SERVICES COM DE EPI S LTDA EPP;RETIRO,114;03073-005;TATUAPE;São Paulo;São Paulo
2011;2011/11;07.753.797/0001-47;1000 X SERVICOS ADMINISTRATI. LTDA EPP;RETIRO,114 AND 1;03073-005;TATUAPE;São Paulo;São Paulo
2009;2009/03;04.336.789/0001-07;1000TONCAR AUTO SERV E COM LTDA ME;RUA CERRO CORA,2431;05061-450;ALTO DA LAPA;São Paulo;São Paulo
2009;2009/03;08.286.188/0001-98;1001 CORES COMERCIO DE CONFECCOES E ESTAMPARIA LTDA;RUA MANIUTUBA,109;03411-130;VILA SANTO ANTONIO;São Paulo;São Paulo
2009;2009/05;61.508.537/0003-13;1001 IND.ARTEF.BORRACHA LTDA;AV. LINO ANTONIO NOGUEIRA,832;07024-030;J.STA.FRANCISCA;Guarulhos;São Paulo
2011;2011/09;61.508.537/0003-13;1001 INDUSTRIA DE ARTEFATOS DE BORRACHA LTDA;AV. LINO ANTONIO NOGUEIRA, 832;07024-030;JD SANTA FRANCISCA;Guarulhos;São Paulo
2010;2010/09;61.508.537/0003-13;1001 INDUSTRIA DE ARTEFATOS DE BORRACHA LTDA;AV. LINO ANTONIO NOGUEIRA, 832;07024-030;JD SANTA FRANCISCA;Guarulhos;São Paulo
2008;2008/12;04.633.265/0001-88;1001 PNEUS;AV MONSENHOR MARTINHO SALGOT, 313;13414-040;AREãO;Piracicaba;São Paulo
2011;2011/04;06.255.850/0001-17;1001 RETALHOS IND CONFECCOES LTDA ME;AV. INDUSTRIAL WALTER KLOTH,1594;12941-200;JARDIM IMPERIAL;Atibaia;São Paulo
2011;2011/03;06.255.850/0001-17;1001 RETALHOS IND CONFECCOES LTDA ME;AV. INDUSTRIAL WALTER KLOTH,1594;12941-200;JARDIM IMPERIAL;Atibaia;São Paulo
2009;2009/11;02.093.794/0001-00;107 QUITANDA MERCEARIA NOZUMA LTDA ME;DR. JOSE DO AMARAL,341;03675-010;JARDIM TRES MARIAS;São Paulo;São Paulo
2011;2011/07;10.770.818/0001-47;10C CENTRO DE EMBEL AUTOMOTIVO LTDA ME;RUA MANUEL DA COSTA,635;03262-000;VILA DARLI;São Paulo;São Paulo
2010;2010/10;45.566.486/0001-68;11 CARTORIO DE REGISTRO DE IMOVEIS;R. NELSON GAMA DE OLIVEIRA,,235;05734-150;V. ANDRADE;São Paulo;São Paulo
2011;2011/01;06.268.154/0001-45;11A UNIFORMES E SERVICOS LTDA;AV DIOGENES RIBEIRO DE LIMA,2872-7 ANDAR-S.PAULO;05083-901;ALTO DA LAPA;São Paulo;São Paulo
2010;2010/10;06.268.154/0001-45;11A UNIFORMES E SERVIÇOS LTDA;AV DIOGENES RIBEIRO DE LIMA,2872-7 ANDAR-S.PAULO;05083-901;ALTO DA LAPA;São Paulo;São Paulo
2011;2011/07;45.565.371/0001-59;12 CARTORIO DE NOTAS;AL SANTOS 1470 TERREO;01418-100;JARDIM PAULISTA;São Paulo;São Paulo
2012;2012/05;45.565.371/0001-59;12 CARTORIO DE NOTAS;AL SANTOS 1470 TERREO;01418-100;JARDIM PAULISTA;São Paulo;São Paulo
2011;2011/09;09.452.631/0001-16;1212 LENHA & ARTE PIZZAS LTDA - ME;R MUNIZ DE SOUSA 1342;01534-001;ACLIMACAO;São Paulo;São Paulo
2010;2010/10;45.572.393/0001-46;13 OFICIAL DE REGISTRO DE IMOVEIS DA CAPITAL;AV SAO GABRIEL 201 1 ANDAR;01435-001;ITAIM BIBI;São Paulo;São Paulo
2012;2012/05;45.565.397/0001-05;13. TABELIAO DE NOTAS DA CAPITAL;R PRINCESA ISABEL 363;04601-001;BROOKLIN PAULISTA;São Paulo;São Paulo
2008;2008/07;06.083.070/0001-37;136-CONDOMINIO EDIFICIO FELIPE;RUA ACARIS,28;11703-690;VILA TUPI;Praia Grande;São Paulo
2010;2010/11;01.471.008/0001-07;14 BIS PIZZARIA E ESFIHARIA LTDA ME;AVENIDA IMPERADOR,4395;08050-540;PARQUE GUARANI;São Paulo;São Paulo
2008;2008/09;45.565.686/0001-04;14 TABELIONATO DE NOTAS DA CAPITAL;RUA ANTONIO BICUDO,,64;05418-000;PINHEIROS;São Paulo;São Paulo
2010;2010/08;01.621.063/0001-28;141 BRASIL COMUNICACAO LTDA 141 BRASIL SP;AV. PEDROSO DE MORAES,1553;05419-001;PINHEIROS;São Paulo;São Paulo
2011;2011/01;01.621.063/0001-28;141 BRASIL COMUNICACAO LTDA 141 BRASIL SP;AV. PEDROSO DE MORAES,1553;05419-001;PINHEIROS;São Paulo;São Paulo
2011;2011/04;01.621.063/0001-28;141 SOHO SQUARE COMUNICACAO LTDA;AV. PEDROSO DE MORAES,1553;05419-001;PINHEIROS;São Paulo;São Paulo
2012;2012/01;45.565.876/0001-13;15 CARTORIO DE REGISTRO DE IMOVEIS;R CONS CRISPINIANO 29 5 ANDAR;01037-900;CONSOLACAO;São Paulo;São Paulo
2011;2011/09;50.178.227/0001-08;15 DE NOVEMBRO MOVEIS E UTILIDADES LTDA;RUA GENERAL GLICERIO,74;09015-190;CENTRO;Santo André;São Paulo
2008;2008/11;50.178.227/0001-08;15 DE NOVEMBRO MOVEIS E UTILIDADES LTDA;RUA GENERAL GLICERIO,74;01000-000;CENTRO;São Paulo;São Paulo
2008;2008/10;50.178.227/0001-08;15 DE NOVEMBRO MOVEIS E UTILIDADES LTDA;RUA GENERAL GLICERIO,74;01000-000;CENTRO;Santo André;São Paulo
2008;2008/09;50.178.227/0001-08;15 DE NOVEMBRO MOVEIS E UTILIDADES LTDA;RUA GENERAL GLICERIO,74;01000-000;CENTRO;São Paulo;São Paulo
2009;2009/06;50.178.227/0001-08;15 DE NOVEMBRO MOVEIS E UTILIDADES LTDA;RUA GENERAL GLICERIO,74;09015-190;CENTRO;Santo André;São Paulo
2010;2010/06;50.178.227/0001-08;15 DE NOVEMBRO MOVEIS E UTILIDADES LTDA;RUA GENERAL GLICERIO,74;09015-190;CENTRO;Santo André;São Paulo
2010;2010/10;50.178.227/0001-08;15 DE NOVEMBRO MOVEIS E UTILIDADES LTDA;RUA GENERAL GLICERIO,74;01000-000;CENTRO;São Paulo;São Paulo
2011;2011/06;50.178.227/0001-08;15 DE NOVEMBRO MOVEIS E UTILIDADES LTDA;RUA GENERAL GLICERIO,74;01000-000;CENTRO;São Paulo;São Paulo
2010;2010/04;50.178.227/0003-61;15 DE NOVEMBRO MOVEIS E UTILIDADES LTDA.;RUA MARECHAL DEODORO, 693;09710-000;CENTRO;São Bernardo do Campo;São Paulo
2011;2011/05;08.918.283/0001-67;153 JULIANA CRISTINA CESARIO ONGILIO ME;AV ANTONIO E HELENA ZERRENER,1277;14050-010;VILA TIBERIO;Ribeirão Preto;São Paulo
2011;2011/10;10.257.258/0001-21;155 HOTEL LTDA EPP;RUA MARTINHO PRADO,173;01306-040;CONSOLACAO;São Paulo;São Paulo
2011;2011/11;45.572.567/0001-70;16 TABELIAO DE NOTAS;R AUGUSTA 1638 LOJA  / 1642 1 ANDAR;01304-001;CERQUEIRA CESAR;São Paulo;São Paulo
2009;2009/12;45.572.567/0001-70;16 TABELIAO DE NOTAS DE SAO PAULO;RUA AUGUSTA,1638;01304-001;CERQUEIRA CESAR;São Paulo;São Paulo
2008;2008/08;50.017.83075/02;164-CONDOMINIO EDIFICIO DROGASIL;AV. JABAQUARA, 774;04046-000;JABAQUARA;São Paulo;São Paulo
2009;2009/01;54.342.621/0001-82;173-CONDOMINIO EDIFICIO MALAGA I;RUA AMAZONAS,115;11443-350;ENSEADA;Guarujá;São Paulo
2008;2008/10;54.342.621/0001-82;173-CONDOMINIO EDIFICIO MALAGA I;RUA AMAZONAS,115;11443-350;J. BATISTA JULIAO;Guarujá;São Paulo
2008;2008/09;54.342.621/0001-82;173-CONDOMINIO EDIFICIO MALAGA I;RUA AMAZONAS,115;11443-350;J. BATISTA JULIAO;Guarujá;São Paulo
2012;2012/03;00.839.246/0001-51;175 COLEGIO MIRANDA SC LTDA;R CEL JOSE RUFINO FREIRE,193;05159-500;JD JARAGUA;São Paulo;São Paulo
2011;2011/07;45.576.733/0001-07;18 REGISTRO DE IMOVEIS;AV DA LIBERDADE 701;01503-001;LIBERDADE;São Paulo;São Paulo
2009;2009/07;08.216.743/0001-05;1818 COMERCIO DE PEDRAS ORNAMENTAIS LTDA;RUA MUNIZ DE SOUZA, 492;01000-000;ACLIMAÇÃO;São Paulo;São Paulo
2010;2010/08;96.291.695/0001-87;19 SUBDISTRITO DO REGISTRO CIVIL PE;RUA TURIASSU,,433;05005-001;PERDIZES;São Paulo;São Paulo
2010;2010/08;96.291.695/0001-87;19 SUBDISTRITO DO REGISTRO CIVIL PE;RUA TURIASSU,,433;05005-001;PERDIZES;São Paulo;São Paulo
2011;2011/10;96.291.695/0001-87;19 SUBDISTRITO DO REGISTRO CIVIL PE;RUA TURIASSU,,433;05005-001;PERDIZES;São Paulo;São Paulo
2010;2010/08;45.572.724/0001-48;19 TABELIAO DE NOTAS DA CAPITAL;AVENIDA REBOUCAS,,3749;05401-450;JD. AMERICA;São Paulo;São Paulo
2008;2008/12;58.002.007/0001-22;1946 COND EDIFICIO PORTO SEGURO;RUA ECA DE QUEIROZ,270;04011-031;VILA MARIANA;São Paulo;São Paulo
2008;2008/12;01.643.690/0001-60;199 COMPANY BAURU LTDA EPP;RUA PRIMEIRO DE AGOSTO,3-29;17010-011;CENTRO;Bauru;São Paulo
2009;2009/12;02.925.124/0003-75;1O BATALHAO INDUSTRIA E COMERCIO LTDA;RUA DA JUTA,255 A SALA 2;03010-010;BRAS;São Paulo;São Paulo
2011;2011/10;51.393.510/0001-07;1º TABELIÃO DE NOTAS E PROT. DE LETRAS E TITULOS;AV. MANOEL GOULART, 386;19010-270;CENTRO;Presidente Prudente;São Paulo
2008;2008/06;04.190.957/0001-07;1X;AV.INDEPENDENCIA_4665;18103-000;Sem Informação;Sorocaba;São Paulo
2008;2008/12;Sem Informação;1X;N/C;18051-900;VILA DOS INGLESES;Capão Bonito;São Paulo
2010;2010/11;60.373.164/0001-96;1XCONFECÇÕES DIMANOS LTDA;N/CRUA CEL. BENEDITO PIRES,,171;18010-160;CENTRO;Sorocaba;São Paulo
2008;2008/06;06.053.800/0001-57;1XGM LAVKAR E COMÉRCIO DE ACESSÓRIOS PARA AUTOS LTDA- M;N/CAV. INDEPENDÊNCIA,4771;18103-000;__EDEN;Sorocaba;São Paulo
2009;2009/10;53.343.984/0001-70;2 B CONFECCOES DE ROUPAS LTDA ME;RUA BUENO BRANDAO,81;07143-030;JD SAO JOSE;Guarulhos;São Paulo
2009;2009/02;56.395.411/0001-88;2 DEGRAL CONFECCAO DE ROUPAS LTDA.;RUA CARDOSO DE ALMEIDA,180;05013-000;PERDIZES;São Paulo;São Paulo
2008;2008/12;08.229.547/0001-75;2 FR BAR LTDA ME;RUA MAJOR ANTONIO DOMINGUES,383;12245-750;CENTRO;São José dos Campos;São Paulo
2009;2009/04;74.375.197/0001-80;2 LEOES MATERIAIS PARA CONSTRUCAO ME;AV INOCENCIO SERAFICO 4414;06343-410;VILA DIRCE;Carapicuíba;São Paulo
2009;2009/03;74.375.197/0001-80;2 LEOES MATERIAIS PARA CONSTRUCAO ME;AV INOCENCIO SERAFICO 4414;06343-410;VILA DIRCE;Carapicuíba;São Paulo
2009;2009/09;07.793.883/0001-83;2 M CONSTRUTORA LTDA;RUA JOAO GASPAR SIMOES,297;04416-370;AMERICANOPOLIS;São Paulo;São Paulo
2008;2008/09;67.525.212/0001-63;2 M CRIAçãO EDITORIAL COMéRCIO IMP. E EXP. LTDA;RUA TRES ANDRADAS, 560 - OSASCO;06230-080;JD. PIRATININGA;Osasco;São Paulo
2008;2008/09;05.689.774/0001-95;2 OFICIAL REG IMOVEIS T D C P JURIDICA DE BAURU;RUA TREZE DE MAIO,8-34;17015-270;CENTRO;Bauru;São Paulo
2009;2009/06;10.334.780/0001-60;2 SANTOS - HOTELARIA E EVENTOS LTDA.;ROD. MARECHAL RONDON, S/N KM 127,5;18540-000;ESTRADA DO CHAPADÃO;Porto Feliz;São Paulo
