Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;2M LOCACOES DE STANDES LTDA EPP;Logradouro Local Fiscalizado;CEP;;Município Local Fiscalizado;UF Local Fiscalizado
2010;2010/08;04.072.608/0001-82;3P COMERCIAL LTDA ME;AVENIDA FAGUNDES DE OLIVEIRA,1527;09950-300;V.S. JOSé;Diadema;São Paulo
2008;2008/09;74.219.924/0001-10;3P PUBLICID.PROPAG.E COM.DE PAINEIS LTDA;AV.HIGIENOPOLIS,126;09190-360;VILA GILDA;Santo André;São Paulo
2009;2009/01;06.697.540/0001-52;3R COMERCIO DE EQUIP E SERV LTDA EPP;ESTRADA MUNICIPAL ALOIS PARTEL FILHO, N. 201;13560-000;ÁGUA VERMELHA;São Carlos;São Paulo
2010;2010/11;06.697.540/0001-52;3R COMERCIO DE EQUIP E SERV LTDA EPP;OBRA AV MARIA A C OLIVEIRA, 1030 - SAVEGNAGO;14800-000;Sem Informação;Araraquara;São Paulo
2012;2012/02;06.697.540/0001-52;3R COMERCIO DE EQUIP E SERV LTDA EPP;PRAçA ITáLIA, S/N;13560-000;VILA LUTFALLA;São Carlos;São Paulo
2011;2011/06;05.958.786/0001-78;3R EMPREENDIMENTOS TURISTICOS LTDA;AV MALEK ASSAD,2005;12328-900;JD SANTA MARIA;Jacareí;São Paulo
2010;2010/11;04.616.634/0001-24;3R EVENTOS PROMOCIONAIS LTDA;AUT. MUNICIPAL CARLOS PACE;01000-000;Sem Informação;São Paulo;São Paulo
2011;2011/07;04.616.634/0001-24;3R EVENTOS PROMOCIONAIS LTDA;AV. OLAVO FONTOURA, 1209;02010-000;PQ ANHEMBI;São Paulo;São Paulo
2011;2011/12;04.616.634/0001-24;3R EVENTOS PROMOCIONAIS LTDA;AVENIDA TEOTôNIO VILELA Nº 261;01000-000;INTERLAGOS;São Paulo;São Paulo
2011;2011/03;02.543.673/0001-13;3R INDUSTRIA E COMERCIO LTDA.;RUA JOAO DE PAULA FRANCO,334;04775-165;JARDIM MARABA;São Paulo;São Paulo
2009;2009/11;04.443.260/0001-92;3R RUBBER MANUFACTURING INDUSTRIA E COMERCIO LTDA;RUA MAJOR PINHEIRO FROES, 2200;08680-000;VILA MARIA DE MAGGI;Suzano;São Paulo
2011;2011/07;12.057.486/0001-83;3RA EVENTOS LTDA;AV. OLAVO FONTOURA, 1209;02010-000;PQ ANHEMBI;São Paulo;São Paulo
2011;2011/11;12.057.486/0001-83;3RA EVENTOS LTDA;AVENIDA TEOTôNIO VILELA Nº 261;01000-000;INTERLAGOS;São Paulo;São Paulo
2012;2012/03;12.057.486/0001-83;3RA EVENTOS LTDA;RUA JOÃO TEODORO, 134/136;01105-000;LUZ;São Paulo;São Paulo
2008;2008/09;06.813.814/0001-21;3RV INDUSTRIA COMERCIO CONFECCAO LTDA ME;RUA DR PEDRO CARLOS DE SOUSA 31;13760-000;CENTRO;Tapiratiba;São Paulo
2011;2011/07;08.238.706/0001-06;3S ASSIS COMERCIO DE MOVEIS LTDA EPP;R RUI BARBOSA, 1278;19814-000;Sem Informação;Assis;São Paulo
2008;2008/11;05.165.734/0001-44;3SI SISTEMAS DE SEGURANCA DO BRASIL LTDA;RUA CUBATAO,929, CONJ. 87;04013-043;PARAISO;São Paulo;São Paulo
2011;2011/05;09.494.967/0001-41;3ST SERVICOS LTDA ME;RUA AMADOR BUENO,504;06230-100;JARDIM PIRATININGA;Osasco;São Paulo
2010;2010/10;Sem Informação;3T ESPORTES S/C LTDA;R. TABAPUÃ, 479;04533-000;Sem Informação;São Paulo;São Paulo
2008;2008/11;02.412.653/0001-03;3V ALBUQUERQUE BARBOSA USINAGEM LTDA.ME.;AV. D. RUYCE FERRAZ ALVIM, 511;09961-540;Sem Informação;Diadema;São Paulo
2012;2012/05;11.481.714/0001-85;3V TRANSPORTES EXPRESSOS LTDA - ME;RUA FREI GASPAR, 131 CJ. 21;11010-091;CENTRO;Santos;São Paulo
2010;2010/11;00.914.151/0004-06;3XMENDES RIGONATTI E CIA LTDA;N/CRUA B. DO RIO BRANCO, N.º 176;18010-171;CENTRO;Sorocaba;São Paulo
2008;2008/08;09.264.606/0001-09;3XSANDRA REGINA RODRIGUES DE LIMA-ME;N/CAV. ENG. CARLOS REINALDO MENDES, 1401;18013-280;J. PELEGRINO;Sorocaba;São Paulo
2010;2010/12;11.063.027/0001-40;4 ACT PERFORMING ARTS ATIVIDADES ARTÍSTICAS LTDA ME;CUNHA GAGO;05421-000;PINHEIROS;São Paulo;São Paulo
2008;2008/10;51.880.722/0001-19;4 CARTORIO DE NOTAS;AV. FRANCISCO GLICÉRIO, 1.522;13010-210;CENTRO;Campinas;São Paulo
2009;2009/10;01.463.224/0001-00;4 DIMENSAO EXP E IMP IND E COM LTDA;RUA GIOCONDO NEGRO,316;13480-000;VILA TEIXEIRA MARQU;Limeira;São Paulo
2011;2011/12;05.570.399/0001-60;4 FLEX ACADEMIA DE ESPORTES LTDA;AV SEN JOSE ERMIRIO DE MORAES,626;02357-000;VILA ALBERTINA;São Paulo;São Paulo
2010;2010/05;05.570.399/0001-60;4 FLEX ACADEMIA DE ESPORTES LTDA;AV SEN JOSE ERMIRIO DE MORAES,626;02357-000;VILA ALBERTINA;São Paulo;São Paulo
2010;2010/07;00.346.719/0001-89;4 OFICIAL DE REGISTRO DE TITULOS E DOCUMENTOS E CI;R XV DE NOVEMBRO 251 ANDAR 2;01013-000;CENTRO;São Paulo;São Paulo
2009;2009/03;01.202.596/0001-75;4 POR 1 COMERCIAL LTDA;EMILIA MARENGO,,664;03336-000;TATUAPE;São Paulo;São Paulo
2010;2010/09;09.577.142/0001-90;4 R CABEDAIS LTDA ME;RUA LEONORA FIOROTO 669;16201-195;Sem Informação;Birigui;São Paulo
2009;2009/09;09.577.142/0001-90;4 R CABEDAIS LTDA ME;RUA SETE DE DEZEMBRO 137;16201-195;Sem Informação;Birigui;São Paulo
2009;2009/11;09.577.142/0001-90;4 R CABEDAIS LTDA ME;RUA SETE DE SETEMBRO, 137;16201-195;VILA XAVIER;Birigui;São Paulo
2012;2012/03;11.178.284/0001-27;4 R MINAS BRASIL COMERCIO DE METAIS LTDA ME;ESTRADA ARACARIGUAMA 162;06695-560;AMBUITA;Itapevi;São Paulo
2012;2012/04;10.993.677/0001-21;4 R TERRAPLANAGEM LTDA;RODOVIA PRES DUTRA, KM 52;12600-000;MONDESIR;Lorena;São Paulo
2011;2011/12;10.993.677/0001-21;4 R TERRAPLANAGEM LTDA;RUA PRIMEIRO DE MARÇO, S/N.;12570-000;RD. DUTRA KM 70;Aparecida;São Paulo
2011;2011/02;05.901.711/0001-50;4 SERVICOS E COM DE MATS DID LTDA ME;RUA TENENTE ARY APS,154;13207-110;VIANELO;Jundiaí;São Paulo
2010;2010/07;59.945.840/0001-70;4. TABELIONATO DE PROTESTO DE TITULOS;AV BRIGADEIRO LUIZ ANTONIO 319;01006-030;BELA VISTA;São Paulo;São Paulo
2011;2011/11;07.053.025/0001-00;40 J V A COMERCIO DE PRODUTOS DE TELEFONIA LTDA EPP;AV PRES KENNEDY,1500;14096-350;RIBEIRANIA;Ribeirão Preto;São Paulo
2011;2011/04;00.790.495/0001-08;47 SURF WEAR MODAS LTDA;RUA MARECHAL DEODORO, 978 LOJA 47;09710-001;CENTRO;São Bernardo do Campo;São Paulo
2008;2008/12;61.504.247/0001-30;49DIST E COML DE MATL BAS P CONSTRUCAO CIVIL LTDA;RUA JOAO ALPHONSUS,91;05767-410;JARDIM CATANDUVA;São Paulo;São Paulo
2010;2010/06;04.444.056/0001-96;4A ENGENHARIA E TECNOLOGIA LTDA;AV.MASCOTE,81;04363-001;Sem Informação;São Paulo;São Paulo
2009;2009/12;04.444.056/0001-96;4A ENGENHARIA E TECNOLOGIA LTDA;AVENIDA JOãO PEIXOTO VIEGAS, 195;01000-000;JARDIM MARAJOARA;São Paulo;São Paulo
2009;2009/11;04.444.056/0001-96;4A ENGENHARIA E TECNOLOGIA LTDA;RUA CARAMURU, 275;04138-000;SAUDE;São Paulo;São Paulo
2008;2008/12;04.444.056/0001-96;4A ENGENHARIA E TECNOLOGIA LTDA;RUA DOMICIANO LEITE RIBEIRO, 51;04747-000;Sem Informação;São Paulo;São Paulo
2008;2008/10;04.444.056/0001-96;4A ENGENHARIA E TECNOLOGIA LTDA;RUA JORGE OLIVA, 333;04362-060;VILA MASCOTE;São Paulo;São Paulo
2009;2009/09;05.611.479/0001-16;4A IND E COM DE PLáST E GRAMPOS LTDA;R JULIA CORTINES, 69;04279-060;SACOMA;São Paulo;São Paulo
2009;2009/04;04.180.167/0001-32;4A VESTE ROUPAS PROFISSIONAIS LTDAME;AV MINISTRO OSWALDO ARANHA,66;09626-000;VILA FRANCA;São Bernardo do Campo;São Paulo
2008;2008/09;04.468.221/0001-40;4D EDITORA E INFORMATICA LTDA EPP;RUA DOS JACINTOS,205;04049-050;MIRANDOPOLIS;São Paulo;São Paulo
2010;2010/04;05.909.372/0001-59;4J COMÉRCIO DE PEÇAS PARA VEÍCULOS LTDA;AV. MOACIR VIEIRA COELHO, 3565;14405-700;FRANCA;Franca;São Paulo
2011;2011/09;07.679.494/0001-21;4LAW RESTAURANTE BAR E FRANQUIA LTDA.;LORENA, 1040,;01424-001;CERQUEIRA CESAR;São Paulo;São Paulo
2011;2011/02;07.679.494/0001-21;4LAW RESTAURANTE, BAR E FRANQUIA LTDA.;AL LORENA 1040;01424-001;CERQUEIRA CESAR;São Paulo;São Paulo
2008;2008/10;03.849.770/0002-82;4M ADMINISTRACAO E PARTICIPACOES LTDA;RUA SOLDADO JOSE DE ANDRADE,63;07024-001;JD SANTA FRANCISCA;Guarulhos;São Paulo
2008;2008/11;09.211.726/0001-48;4M HIDRAULICA LTDA ME;RUA COM.VICENTE LEONE, 27;13480-000;Sem Informação;Limeira;São Paulo
2011;2011/02;11.354.593/0001-00;4R EMPREENDIMENTOS IMOBOLIARIOS LTDA;RUA DUQUE DE CAXIAS, 228;12600-000;CENTRO;Lorena;São Paulo
2009;2009/11;11.178.284/0001-27;4R MINAS BRASIL COMERCIO DE METAIS LTDA ME;AV MARECHAL CASTELO BRANCO, 330;06790-070;Sem Informação;Taboão da Serra;São Paulo
2009;2009/12;04.078.995/0001-64;5 A SEC BRASIL FRANCHISING LTDA;AL. ARAGUAIA 2111;06455-000;TAMBORé;Barueri;São Paulo
2008;2008/09;51.880.730/0001-65;5 CARTORIO DE NOTAS E OFICIOS DE JUSTICA;R MARIA MONTEIRO 536;13025-150;CAMBUI;Campinas;São Paulo
2010;2010/02;00.383.649/0001-39;5 ESTRELAS SPECIAL SERVICE LIMP. E SERV. AUXILIARES LTD;AV. GOV. MARIO COVAS 01;09390-040;JD ROSINA;Mauá;São Paulo
2011;2011/07;10.250.585/0001-51;5 M COMERCIO ATACADISTA E VAREJISTA DE ALIMENTOS LTDA;AVENIDA VITORIO BERNARDELO, 77;09851-070;JD. IMPERADOR;São Bernardo do Campo;São Paulo
2009;2009/04;10.250.585/0001-51;5 M COMERCIO ATACADISTA VAREJISTA ALIMENTOS LTDA;RUA VITORIO DENNARDELLI, 77;09851-070;JARDIM IMPERADOR;São Bernardo do Campo;São Paulo
2009;2009/12;10.250.585/0001-51;5 M COMERCIO ATACADISTA VAREJISTA ALIMENTOS LTDA;RUA VITORIO DENNARDELLI, 77;09851-070;JARDIM IMPERADOR;São Bernardo do Campo;São Paulo
2011;2011/01;10.292.311/0001-25;5 X COMERCIO DE PANIFICACAO LTDA;RUA DOS PATRIOTAS,874;04207-030;IPIRANGA;São Paulo;São Paulo
2011;2011/08;10.292.311/0001-25;5 X COMERCIO DE PANIFICACAO LTDA;RUA DOS PATRIOTAS,874;04207-030;IPIRANGA;São Paulo;São Paulo
2011;2011/11;60.048.261/0001-03;5. TABELIONATO DE PROTESTO DE TITULOS;R DA GLORIA 162;01510-000;LIBERDADE;São Paulo;São Paulo
2009;2009/06;51.880.730/0001-65;5¿CARTORIO DE NOTAS E OFICIOS DE JUSTIÇA;RUA MARIA MONTEIRO, 536;13025-150;CAMBUI;Campinas;São Paulo
2010;2010/06;56.598.857/0001-00;540 NOVIDADES E CONFECCOES LTDA EPP;RUA BARAO DO RIO BRANCO,540;16200-001;CENTRO;Birigui;São Paulo
2009;2009/05;57.065.930/0001-40;54-BERTAIA E MAGALHAES SC LTDA;X;06023-010;Sem Informação;Araraquara;São Paulo
2010;2010/08;05.506.550/0001-09;5A CONSULT PROJ E SOLUCOES EM SIST L;RUA ARIZONA,1426;04567-003;BROOKLIN;São Paulo;São Paulo
2010;2010/12;03.421.816/0001-87;5ª FACHADA CONSTRUTORA LTDA;OBRA: AV MAGNO P. BITTENCOURT 1515;11600-000;Sem Informação;São Sebastião;São Paulo
2010;2010/04;10.250.585/0001-51;5M COMERCIO ATACADISTA E VAREJISTA DE ALIMENTOS LTDA.;RUA VITÓRIO BERNARDELLO, 77;09851-070;JDIM. IMPERADOR;São Bernardo do Campo;São Paulo
2008;2008/10;51.880.730/0001-65;5ºCARTORIO DE NOTAS E OFICIOS DE JUSTICA;R MARIA MONTEIRO 536;13025-150;CAMBUI;Campinas;São Paulo
2009;2009/03;04.951.407/0002-36;6 MS CONFECCOES LTDA EPP;RUA JOAO CACHOEIRA,1103;04535-013;VILA NOVA CONCEICAO;São Paulo;São Paulo
2011;2011/07;04.951.407/0001-55;6 MS CONFECCOES LTDA EPP;RUA JOSE PAULINO, 674 676,;01120-000;BOM RETIRO;São Paulo;São Paulo
2012;2012/01;04.951.407/0001-55;6 MS CONFECÇÕES LTDA. EPP;RUA JOSE PAULINO,674;01120-901;BOM RETIRO;São Paulo;São Paulo
2011;2011/07;45.566.460/0001-10;6 TABELIAO DE NOTAS DE SAO PAULO;R SANTO AMARO 482;01315-000;BELA VISTA;São Paulo;São Paulo
2009;2009/06;10.220.957/0002-88;614 INTERIOR LINHA SA;RUA ANTONIO FERRUCIO MORI, 207 - SALA 01;18600-000;JARDIM PARAISO;Botucatu;São Paulo
2008;2008/12;03.722.616/0002-45;614 TVC INTERIOR S/A;RUA ANTONIO FERRUCIO MORI,207;18610-330;JD. PARAISO;Botucatu;São Paulo
2010;2010/04;09.566.315/0001-75;6ª CIRCUNSCRIçãO DE SERVIçO MILITAR;BANDEIRANTES, 3-55;17015-010;Sem Informação;Bauru;São Paulo
2010;2010/11;53.452.256/0001-04;7 CARTORIO DE REGISTRO DE TITULOS E DOCUMENTOS;R QUINZE DE NOVEMBRO 251 5. ANDAR;01013-001;CENTRO;São Paulo;São Paulo
2010;2010/03;07.479.836/0001-60;7 IND DE SALTOS E SOLADOS INJETADOS L ME;DESEMB JOAO BATISTA ARRUDA SAMPAIO,2880;17210-780;JRD ALVORADA;Jaú;São Paulo
2011;2011/04;07.479.836/0001-60;7 IND DE SALTOS E SOLADOS INJETADOS L ME;DESEMB JOAO BATISTA ARRUDA SAMPAIO,2880;17210-780;JRD ALVORADA;Jaú;São Paulo
2011;2011/01;07.479.836/0001-60;7 IND DE SALTOS E SOLADOS INJETADOS L ME;DESEMB JOAO BATISTA ARRUDA SAMPAIO,2880;17210-780;JRD ALVORADA;Jaú;São Paulo
2010;2010/07;00.395.787/0001-38;7 REGISTRO CIVIL DAS PESSOAS NATURAIS SUBDT.CONSOL;AV ANGELICA 2168;01228-200;CONSOLACAO;São Paulo;São Paulo
2011;2011/11;60.048.196/0001-16;7. TABELIONATO DE PROTESTO DE TITULOS;R DA GLORIA 152 3 ANDAR;01510-000;LIBERDADE;São Paulo;São Paulo
2008;2008/07;60.339.611/0001-90;7.7.7. COML. SERGIO YOO LTDA;R BARAO DE PARANAPIACABA 24 1 E 2 ANDAR;01004-000;CENTRO;São Paulo;São Paulo
2011;2011/02;58.946.757/0001-52;70 VEE MALHARIAS LTDA ME;AV ANTONIO DE SOUZA NOSCHESE,311/321;05328-000;PARQUE CONTINENTAL;São Paulo;São Paulo
2012;2012/05;12.539.517/0001-32;707 AUTO-SERVICO DE ALIMENTOS LTDA;AV ROBERT KENNEDY,707(AV. ATLâNTICA);04768-000;SOCORRO;São Paulo;São Paulo
2011;2011/07;03.932.232/0001-76;7800 FAHRENHEIT PROMOCOES E EVENTOS SC LTDA;ABIOPTICA 2011 - PAVILHAO DO CENTER NORTE;02055-000;VIL GUILHERME;São Paulo;São Paulo
2012;2012/02;56.709.413/0001-02;7COMM INFORMATICA LTDA.;RUA FORMOSA,367;01049-000;CENTRO;São Paulo;São Paulo
2011;2011/08;04.620.437/0001-89;8 - 8 CONFECCOES LTDA;R JAVAES 595 599;01130-010;BOM RETIRO;São Paulo;São Paulo
2008;2008/12;52.252.509/0001-25;8 CARTORIO DE NOTAS DE SANTOS;PRACA DOM IDILIO JOSE SOARES 42 LJ 112;11013-170;CENTRO;Santos;São Paulo
2011;2011/05;47.461.736/0001-20;8. TABELIAO DE NOTAS DR DOUGLAS EDUARDO DUALIBI;R XV DE NOVEMBRO 193;01013-001;CENTRO;São Paulo;São Paulo
2012;2012/01;59.943.043/0001-53;8. TABELIAO DE PROTESTO DE LETRAS E TITULOS DA CAP;R XV DE NOVEMBRO 331;01013-001;CENTROI;São Paulo;São Paulo
2008;2008/09;05.868.263/0004-83;845 COMERCIO DE VEICULOS LTDA;AV AMOREIRAS,1411;13030-405;SAO BERNARDO;Campinas;São Paulo
2010;2010/08;04.620.437/0001-89;88 CONFECÇÕES LTDA.;RUA JAVAES, 595;01130-010;BOM RETIRO;São Paulo;São Paulo
2011;2011/07;Sem Informação;8ERGIO LUIZ ANTONIO D'AURIA;RUA NUNO ALVARES PEREIRA, 590;15000-000;HIGIENOPOLIS;São José do Rio Preto;São Paulo
2008;2008/12;00.874.168/0001-26;8X8 CURVA TUBO LTDA;AV. CORONEL SEZEFREDO FAGUNDES, 5611;02308-000;JD. TREMEMBE;São Paulo;São Paulo
2011;2011/08;45.572.443/0001-95;9 CARTORIO DE NOTAS DA CAPITAL;R MARCONI 124 ANDAR 1 AO 6;01047-000;REPUBLICA;São Paulo;São Paulo
2008;2008/12;37.590.03546/06;927 VALERIA DA ANUNCIACAO VILHENA;RUA LUIS GOIS, 78;04043-000;Sem Informação;São Paulo;São Paulo
2011;2011/01;07.591.645/0002-76;9INJET INJECAO DE PECAS PLASTICAS LTDA;AV. 80-A, 777;13506-095;DISTRITO INDUSTRIAL;Rio Claro;São Paulo
2012;2012/03;07.591.645/0002-76;9INJET INJECAO DE PECAS PLASTICAS LTDA;AVENIDA 80-A  N. 777;13506-095;CHACARA RIO CLARO;Rio Claro;São Paulo
2008;2008/07;07.591.645/0002-76;9INJET INJEÇÃO DE PEÇAS PLÁSTICAS LTDA.;AV. 80-A N. 777;13500-000;CHACARA LUSA;Rio Claro;São Paulo
2010;2010/10;Sem Informação;A;A;13400-000;Sem Informação;Piracicaba;São Paulo
2010;2010/07;Sem Informação;A;A;13400-000;Sem Informação;Piracicaba;São Paulo
2011;2011/08;Sem Informação;A;RUA 13 DE MAIO -ENTRE A R-STO ANTONIO E GOVERNADOR;13400-000;CENTRO;Piracicaba;São Paulo
2011;2011/06;Sem Informação;A;RUA DO PORTO;13400-000;Sem Informação;Piracicaba;São Paulo
2010;2010/07;Sem Informação;A;SANTA MARIA DA SERRA;17370-000;A;Santa Maria da Serra;São Paulo
2009;2009/01;09.485.302/0001-71;A & A LUMINI COM DE MAT ELéTRICO LTDA. ME;RUA MIGUEL PETRONI, 1255;13562-190;JD BANDEIRANTES;São Carlos;São Paulo
2008;2008/12;05.999.947/0001-71;A & A PEDIATRAS LTDA;RUA COLOMBIA,48;11045-320;BOQUEIRAO;Santos;São Paulo
2008;2008/06;07.012.938/0001-70;A & C ASSESSORIA EMPRESARIAL LTDA. ME;AV.MARGINAL ADAMO MELONI, 3563, 2º A,S 207;14160-000;Sem Informação;Sertãozinho;São Paulo
2012;2012/03;00.764.136/0001-78;A & D MODAS LTDA;RUA DR OLAVO EGIDIO, 26;02037-000;SANTANA;São Paulo;São Paulo
2010;2010/03;08.779.284/0001-78;A & E DESTAK COM. VAR. ESQ. METALICAS;AVENIDA PEDRO áLVARES CABRAL, 1301;04094-050;PARQUE IBIRAPUERA;São Paulo;São Paulo
2009;2009/08;09.069.791/0001-80;A & F COMERCIO E ASSISTENCIA TECNICA DE APARELHOS;AV NOVE DE JULHO 1008 SALA  801;01312-000;BELA VISTA;São Paulo;São Paulo
2011;2011/01;07.980.228/0001-34;A & H CONF E COM DE VESTUARIO LTDA ME;ADOLFO PINTO, 485;14700-000;CENTRO;Bebedouro;São Paulo
2009;2009/06;04.540.579/0001-36;A & J LAVANDERIA LTDA ME;RUA DA AGRICULTURA, 410;13479-180;JD. ALVORADA;Americana;São Paulo
2009;2009/04;04.540.579/0001-36;A & J LAVANDERIA LTDA ME;RUA DA AGRICULTURA,410;13454-000;JARDIM PEROLA;Santa Bárbara d'Oeste;São Paulo
2009;2009/01;04.540.579/0001-36;A & J LAVANDERIA LTDA ME;RUA DA AGRICULTURA,410;13454-000;JARDIM PEROLA;Santa Bárbara d'Oeste;São Paulo
2010;2010/02;01.823.703/0001-82;A & K COMERCIO E INSTALACOES LTDA ME;AV OURIVES,89;04194-260;PQ DO ESTADO;São Paulo;São Paulo
2009;2009/06;06.272.479/0001-00;A & L SERVS PROF PARA EVENTOS LTDA EPP;RUA MONTE ALEGRE,1476;05014-000;PERDIZES;São Paulo;São Paulo
2012;2012/02;07.920.329/0001-10;A & R COM DE PROD MEDICOS E HOSP LTD-EPP;RUA PADRE JOãO MANOEL, 222-CJ.28;01411-001;CERQUEIRA CESAR;São Paulo;São Paulo
2012;2012/03;08.212.841/0002-55;A & R INDUSTRIA E COMERCIO DE MARMORES E GRANITOS LTDA;AVENIDA FABIO EDUARDO RAMOS ESQUÍVEL, 1109;09920-579;JARDIM DAS NAÇÕES;Diadema;São Paulo
2008;2008/10;06.186.039/0001-21;A & T PRESTADORA SERVICOS LTDA;ROD. SP 255, S/N, KM 246 + 500 M;18701-175;HARAS ESPERANçA;Avaré;São Paulo
2010;2010/12;10.350.570/0001-65;A & V CALCADOS;RUA JOSE SCARPIM 393;16201-130;JARDIM AEROPORTO;Birigui;São Paulo
2011;2011/08;10.350.570/0001-65;A & V CALCADOS;RUA JOSE SCARPIM 393;16201-130;JARDIM AEROPORTO;Birigui;São Paulo
2008;2008/07;08.304.384/0001-48;A + F SERVIÇOS DE TELEMARTING LTDA;AV. CEL. FERNANDO F. LEITE N. 1.540;14026-020;Sem Informação;Ribeirão Preto;São Paulo
2009;2009/03;06.105.028/0001-70;A 1000 ART'S;R FRANCISCO FERNANDES MATHEUS,4810;14407-757;JARDIM PAINEIRA;Franca;São Paulo
2009;2009/05;01.770.339/0001-30;A 1000 COMERCIO DE COMPONENTES PARA CALCADOS LTDA EP;RUA CRUZ E SOUZA,1524;14401-196;BOA ESPERANCA;Franca;São Paulo
